Vendor,Job,Date,PO No.,Item,Description,Qty.,Rate,Unit,Amount,Tax
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/8"" x 8 1/4"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.7L HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN   ",4,$52.0,,$208.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/8"" x 8 1/4"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",6,$53.0,,$318.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/8"" x 8 1/2"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN   ",2,$54.0,,$108.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/8"" x 7 3/4"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.7L HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN   ",4,$55.0,,$220.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/4"" x 9"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN           ",20,$56.0,,$1120.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/4"" x 9 1/4"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",2,$57.0,,$114.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/4"" x 9 1/2"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",6,$58.0,,$348.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/4"" x 9 1/2"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN     ",206,$59.0,,$12154.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/4"" x 8 1/2"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN         ",2,$60.0,,$120.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/4"" x 7 1/2"" STUD BOLT A193-Gr.B7 with (1) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN    ",36,$61.0,,$2196.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/4"" x 6"" STUD BOLT A193-Gr.B7 with (1) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN    ",14,$62.0,,$868.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/4"" x 11"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",2,$63.0,,$126.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/4"" x 10"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN     ",2,$64.0,,$128.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/4"" x 1'-7"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN    ",2,$65.0,,$130.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 1/4"" x 1'-3 1/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN    ",4,$66.0,,$264.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 "" x 7"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN  ",14,$67.0,,$938.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 "" x 7 3/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN      ",2,$68.0,,$136.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"1 "" x 6 1/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN  ",2,$69.0,,$138.0,6.3330%
